ID,零件,分组,材料说明,尺寸依据,包络X_mm,包络Y_mm,包络Z_mm
SideLeft,左侧木板,Cabinet,12 mm 木板 / 胡桃木表面,估算 / 待选型,12.0,350.0,124.0
SideRight,右侧木板,Cabinet,12 mm 木板 / 胡桃木表面,估算 / 待选型,12.0,350.0,124.0
Bottom,底板 · 低音向下开孔,Cabinet,12 mm 木板；低音开孔待选型,估算 / 待选型,426.0,350.0,12.0
Back,后板 · 倒相管、AC 与铰链盲预孔,Cabinet,概念件,估算 / 待选型,426.0,12.0,112.0
ACInlet,8 字 AC 插座 · 开关保险一体式安装包络,Electronics,采购件占位；接线、绝缘、螺钉及适用板厚待实物确认，未放行通电,用户提供 8-F5 商家图；横装开孔 48×28 R3、2×Ø4.5 孔距 40；外形及端子为保守包络,58.0,30.66,49.0
BassPort,后置倒相管 · Ø32 × 160 可换试验件,Audio,概念件,按可用空间设计的试验初值；非 SC-2103 原厂调谐，密封固定及端口圆角待细化,48.0,160.0,48.0
Fascia,前沿银色 T 型铝饰条,Front,铝合金 T 型材 30×30×5；安装长 425 mm,用户选定 30×30×5 商家图；按总外廓、等厚居中 T 截面解释，圆角及公差待实测,425.0,30.0,30.0
GrilleCloth,透声布外观占位（非实心材料）,Front,透声织物（薄实体仅用于显示）,估算 / 待选型,426.0,29.743,90.0
Slat01,横向木格栅 01,Front,矩形木饰条 / 面宽 7 / 法向厚 3 mm,估算 / 待选型,426.0,5.016,7.584
Slat02,横向木格栅 02,Front,矩形木饰条 / 面宽 7 / 法向厚 3 mm,估算 / 待选型,426.0,5.016,7.584
Slat03,横向木格栅 03,Front,矩形木饰条 / 面宽 7 / 法向厚 3 mm,估算 / 待选型,426.0,5.016,7.584
Slat04,横向木格栅 04,Front,矩形木饰条 / 面宽 7 / 法向厚 3 mm,估算 / 待选型,426.0,5.016,7.584
Slat05,横向木格栅 05,Front,矩形木饰条 / 面宽 7 / 法向厚 3 mm,估算 / 待选型,426.0,5.016,7.584
Slat06,横向木格栅 06,Front,矩形木饰条 / 面宽 7 / 法向厚 3 mm,估算 / 待选型,426.0,5.016,7.584
Slat07,横向木格栅 07,Front,矩形木饰条 / 面宽 7 / 法向厚 3 mm,估算 / 待选型,426.0,5.016,7.584
Slat08,横向木格栅 08,Front,矩形木饰条 / 面宽 7 / 法向厚 3 mm,估算 / 待选型,426.0,5.016,7.584
LightChannel,灯带铝槽占位,Front,概念件,估算 / 待选型,414.0,14.0,2.0
LightDiffuser,3000 K 暖光扩散片,Front,扩散片 / 光色示意,估算 / 待选型,410.0,12.0,1.0
Baffle,左右全频斜面障板,Audio,法向厚 10 mm 障板；上下斜口修切，开孔待实测,估算 / 待选型,426.0,39.757,90.0
AcousticRoof,三音腔共用顶板 · 中部延伸至后板,Audio,概念件,估算 / 待选型,426.0,332.8,10.0
BearingPocket,通用轴承密封避让杯（当前机芯待重做）,Audio,概念件,估算 / 待选型,28.0,28.0,28.0
AcousticRear,左右全频腔后板 · 密封试装,Audio,概念件,估算 / 待选型,426.0,10.0,90.0
AcousticDividerLeft,低音腔左全深隔板,Audio,概念件,估算 / 待选型,10.0,311.485,90.0
AcousticDividerRight,低音腔右全深隔板,Audio,概念件,估算 / 待选型,10.0,311.485,90.0
TweeterLeft,左全频 · SC-2103 安装占位,Audio,概念件,用户提供口端外径与总高；开孔、边沿厚度及内部轮廓暂估,78.0,53.802,75.109
TweeterRight,右全频 · SC-2103 安装占位,Audio,概念件,用户提供口端外径与总高；开孔、边沿厚度及内部轮廓暂估,78.0,53.802,75.109
Woofer,后排低音 · SC-2103 朝下安装占位,Audio,概念件,用户提供口端外径与总高；开孔、边沿厚度及内部轮廓暂估,132.0,132.0,65.0
RearSupport,后部两侧隔振承托梁,Deck,10 mm 木质承托梁；固定方式待定,估算 / 待选型,410.0,30.0,10.0
Isolator0,弹性支承 1（刚度待定）,Deck,弹性支承与双面浅沉台均为安装假设,估算 / 待选型,16.0,16.0,8.0
Isolator1,弹性支承 2（刚度待定）,Deck,弹性支承与双面浅沉台均为安装假设,估算 / 待选型,16.0,16.0,8.0
Isolator2,弹性支承 3（刚度待定）,Deck,弹性支承与双面浅沉台均为安装假设,估算 / 待选型,16.0,16.0,8.0
FloatingDeck,现有承载板（机芯开口与孔位待调整）,Deck,10 mm 结构底板；3×Ø16 底面沉台深 3 mm；主轴孔 Ø20.4 待选型,估算 / 待选型,422.0,330.0,10.0
Amplifier,功放板 · 含散热片整体包络（用户提供尺寸）,Electronics,功放板及散热片整体占位；未细化散热片、端子和支柱,用户提供含散热片外廓长宽高；离底板间距暂估，安装孔位未知,75.0,125.0,45.0
PhonoBoard,备用电子预留区（不代表另需唱放）,Electronics,概念件,估算 / 待选型,80.0,52.0,17.0
PowerTransformer,扬声器电源变压器 · 含固定耳包络,Electronics,变压器空间占位；电气、散热与磁场影响未验证,本体长宽高与固定耳总长由用户提供；耳宽按本体宽保守预留，耳厚为参数中的暂估值，孔位未知,88.0,55.0,50.0
ConnectorPlate,套装 RCA 后板预留区（孔位待确认）,Electronics,概念件,估算 / 待选型,105.0,2.0,32.0
ControlBase,左前旋钮底座,Controls,概念件,估算 / 待选型,34.0,34.0,2.0
ControlKnob,多功能旋钮,Controls,概念件,估算 / 待选型,32.0,32.0,14.0
DustCover,烟灰透明防尘盖,Cover,3 mm 亚克力概念壳；4×Ø5.5 铰链孔为安装假设,估算 / 待选型,426.0,346.0,63.2
HingeBase0,定位合页固定叶 1,Cover,锌合金；HFA5751-3434 简化外形,用户选定 HFA5751-3434；57×51、孔距34×34、4×Ø5.2；轴线、外廓细节与安装见 references/hinges,51.0,13.2,34.75
HingePin0,定位合页活动叶及轴筒 1,Cover,锌合金；与固定叶合计 1 只采购合页,用户选定 HFA5751-3434；57×51、孔距34×34、4×Ø5.2；轴线、外廓细节与安装见 references/hinges,51.0,13.2,34.75
HingeSpacer0,合页上盖补偿垫片 1,Cover,2 mm 铝垫片；安装假设,用户选定 HFA5751-3434；57×51、孔距34×34、4×Ø5.2；轴线、外廓细节与安装见 references/hinges,51.0,2.0,18.0
HingeBacking0,亚克力内侧压板 1,Cover,2 mm 铝板；安装假设,用户选定 HFA5751-3434；57×51、孔距34×34、4×Ø5.2；轴线、外廓细节与安装见 references/hinges,51.0,2.0,18.0
HingeBase1,定位合页固定叶 2,Cover,锌合金；HFA5751-3434 简化外形,用户选定 HFA5751-3434；57×51、孔距34×34、4×Ø5.2；轴线、外廓细节与安装见 references/hinges,51.0,13.2,34.75
HingePin1,定位合页活动叶及轴筒 2,Cover,锌合金；与固定叶合计 1 只采购合页,用户选定 HFA5751-3434；57×51、孔距34×34、4×Ø5.2；轴线、外廓细节与安装见 references/hinges,51.0,13.2,34.75
HingeSpacer1,合页上盖补偿垫片 2,Cover,2 mm 铝垫片；安装假设,用户选定 HFA5751-3434；57×51、孔距34×34、4×Ø5.2；轴线、外廓细节与安装见 references/hinges,51.0,2.0,18.0
HingeBacking1,亚克力内侧压板 2,Cover,2 mm 铝板；安装假设,用户选定 HFA5751-3434；57×51、孔距34×34、4×Ø5.2；轴线、外廓细节与安装见 references/hinges,51.0,2.0,18.0
Foot0,VE 橡胶脚垫与 M8 螺杆 1,Feet,已购橡胶脚垫总成；硬度、压缩量及承载未验证,用户商家图：橡胶 Ø30×20、M8 外露23；螺纹以光杆表示，金属顶片厚度未定义,30.0,30.0,43.0
FootMount0,M8 脚垫固定座 1,Feet,已购镀黑锌固定座；有效螺纹及紧固方案待实物确认,用户商家图：底盘 Ø37×2.5、圆柱 Ø12×14.5、3×Ø5.5；孔分布圆及板预孔为参数中的假设,37.0,37.0,17.0
Foot1,VE 橡胶脚垫与 M8 螺杆 2,Feet,已购橡胶脚垫总成；硬度、压缩量及承载未验证,用户商家图：橡胶 Ø30×20、M8 外露23；螺纹以光杆表示，金属顶片厚度未定义,30.0,30.0,43.0
FootMount1,M8 脚垫固定座 2,Feet,已购镀黑锌固定座；有效螺纹及紧固方案待实物确认,用户商家图：底盘 Ø37×2.5、圆柱 Ø12×14.5、3×Ø5.5；孔分布圆及板预孔为参数中的假设,37.0,37.0,17.0
Foot2,VE 橡胶脚垫与 M8 螺杆 3,Feet,已购橡胶脚垫总成；硬度、压缩量及承载未验证,用户商家图：橡胶 Ø30×20、M8 外露23；螺纹以光杆表示，金属顶片厚度未定义,30.0,30.0,43.0
FootMount2,M8 脚垫固定座 3,Feet,已购镀黑锌固定座；有效螺纹及紧固方案待实物确认,用户商家图：底盘 Ø37×2.5、圆柱 Ø12×14.5、3×Ø5.5；孔分布圆及板预孔为参数中的假设,37.0,37.0,17.0
Foot3,VE 橡胶脚垫与 M8 螺杆 4,Feet,已购橡胶脚垫总成；硬度、压缩量及承载未验证,用户商家图：橡胶 Ø30×20、M8 外露23；螺纹以光杆表示，金属顶片厚度未定义,30.0,30.0,43.0
FootMount3,M8 脚垫固定座 4,Feet,已购镀黑锌固定座；有效螺纹及紧固方案待实物确认,用户商家图：底盘 Ø37×2.5、圆柱 Ø12×14.5、3×Ø5.5；孔分布圆及板预孔为参数中的假设,37.0,37.0,17.0
KitBase,机芯基座与三弹簧 · 平台实测／弹簧外径暂估,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,355.0,280.0,15.5
KitPlatter,实测唱盘 Ø280 × 11 mm,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,280.0,280.0,11.0
KitMatRings,唱盘表面环纹示意,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,272.0,272.0,0.3
KitSpindle,机芯主轴示意,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,7.0,7.0,10.0
KitArmSupport,唱臂支座 · 高40实测／外形暂估,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,25.0,33.0,40.0
KitCurvedArm,弯臂停放示意 · 总长250非有效臂长,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,36.4,151.637,15.373
KitCounterweight,后部配重外观示意,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,20.0,16.0,20.0
KitHeadshell,参考图弯臂连接套、开槽唱头壳与指托 · 外观估算,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,39.844,67.315,13.0
KitCartridge,随套装唱头占位（型号待核实）,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,16.24,21.339,5.0
KitArmRest,停臂架与限位片示意,SelectedKit,机芯概念占位,2026-09-24 用户确认除弯臂外与直臂图一致，且唱头指托不超过机芯基座右侧；355 平面总宽按图，唱盘 Ø280×11、总高85、平台128×108×5、上下40及弹簧数据来自用户。250为唱臂总长，暂作含配重/唱头的纵向外廓，不作为有效臂长。机芯整体右移12 mm以在浮动甲板上近似居中；弯管、连接套、开槽唱头壳与指托按 curved-arm-kit.png 近似。平台与弹簧座共面、唱盘高度、马达位置/直径、传动及回臂外形、弹簧直径和唱臂局部外形均为估算；底部覆盖不完整，不可据此开孔。,11.0,8.0,27.0
